Borough,Total_Consumption_KWH,Consumption_Share,Population,Surplus_Allocated_KWH,Total_Credit_Dollar,Credit_per_Person
BRONX,833843937.0,24.951931830903057,1472654,2513712851.485193,502742570.2970387,341.38539690724275
MANHATTAN,915461495.0,27.394254252467633,1694251,2759757819.071781,551951563.8143563,325.77909873705624
BROOKLYN,1178960158.51,35.27918379106975,2736074,3554103076.5276246,710820615.3055251,259.79582982972136
STATEN ISLAND,74952850.64,2.2428878315405183,495747,225953485.47724482,45190697.09544897,91.1567737080587
QUEENS,338582677.3,10.13174229401904,2405464,1020694148.4534338,204138829.6906868,84.86463721372957
