Borough,Date,Consumption_KWH
NON DEVELOPMENT FACILITY,2022-03-01,1711285.0
NON DEVELOPMENT FACILITY,2022-04-01,1800638.0
NON DEVELOPMENT FACILITY,2022-05-01,1786465.0
NON DEVELOPMENT FACILITY,2022-06-01,2103585.0
NON DEVELOPMENT FACILITY,2022-07-01,2368354.0
NON DEVELOPMENT FACILITY,2022-08-01,2196633.0
NON DEVELOPMENT FACILITY,2022-09-01,2157594.0
NON DEVELOPMENT FACILITY,2022-10-01,1954656.0
NON DEVELOPMENT FACILITY,2022-11-01,1757092.0
NON DEVELOPMENT FACILITY,2022-12-01,1887377.0
NON DEVELOPMENT FACILITY,2023-01-01,651840.0
NON DEVELOPMENT FACILITY,2023-02-01,434520.0
NON DEVELOPMENT FACILITY,2023-03-01,349440.0
NON DEVELOPMENT FACILITY,2023-04-01,327360.0
NON DEVELOPMENT FACILITY,2023-05-01,470960.0
NON DEVELOPMENT FACILITY,2023-06-01,1257760.0
NON DEVELOPMENT FACILITY,2023-07-01,1990160.0
NON DEVELOPMENT FACILITY,2023-08-01,1714320.0
NON DEVELOPMENT FACILITY,2023-09-01,1610240.0
NON DEVELOPMENT FACILITY,2023-10-01,5672.0
NON DEVELOPMENT FACILITY,2023-11-01,4937.0
NON DEVELOPMENT FACILITY,2023-12-01,3820.0
QUEENS,2021-01-01,8000400.0
QUEENS,2021-02-01,6831778.0
QUEENS,2021-03-01,6606406.0
QUEENS,2021-04-01,6655595.0
QUEENS,2021-05-01,6678159.0
QUEENS,2021-06-01,8328418.0
QUEENS,2021-07-01,10932731.0
QUEENS,2021-08-01,11232625.0
QUEENS,2021-09-01,10054678.8
QUEENS,2021-10-01,7722209.0
QUEENS,2021-11-01,8734019.0
QUEENS,2021-12-01,6475152.0
QUEENS,2022-01-01,7971651.0
QUEENS,2022-02-01,6954036.0
QUEENS,2022-03-01,6692420.0
QUEENS,2022-04-01,7232652.0
QUEENS,2022-05-01,7298282.0
QUEENS,2022-06-01,8104501.0
QUEENS,2022-07-01,11759412.0
QUEENS,2022-08-01,11484406.0
QUEENS,2022-09-01,10242770.0
QUEENS,2022-10-01,7189753.0
QUEENS,2022-11-01,6801681.0
QUEENS,2022-12-01,7458141.0
QUEENS,2023-01-01,12307956.0
QUEENS,2023-02-01,11088453.0
QUEENS,2023-03-01,12228390.0
QUEENS,2023-04-01,9694921.0
QUEENS,2023-05-01,9220868.0
QUEENS,2023-06-01,9308023.0
QUEENS,2023-07-01,16630002.0
QUEENS,2023-08-01,14337594.0
QUEENS,2023-09-01,13999980.0
QUEENS,2023-10-01,9420438.5
QUEENS,2023-11-01,11034797.0
QUEENS,2023-12-01,11869379.0
STATEN ISLAND,2021-01-01,2779584.0
STATEN ISLAND,2021-02-01,2460892.0
STATEN ISLAND,2021-03-01,2294720.0
STATEN ISLAND,2021-04-01,2370664.0
STATEN ISLAND,2021-05-01,2265556.0
STATEN ISLAND,2021-06-01,2942824.0
STATEN ISLAND,2021-07-01,3720088.0
STATEN ISLAND,2021-08-01,3746576.0
STATEN ISLAND,2021-09-01,3295000.0
STATEN ISLAND,2021-10-01,2482328.0
STATEN ISLAND,2021-11-01,2362196.0
STATEN ISLAND,2021-12-01,2404528.0
STATEN ISLAND,2022-01-01,2655836.0
STATEN ISLAND,2022-02-01,2340196.0
STATEN ISLAND,2022-03-01,2180160.0
STATEN ISLAND,2022-04-01,2293228.0
STATEN ISLAND,2022-05-01,2207188.0
STATEN ISLAND,2022-06-01,2734948.0
STATEN ISLAND,2022-07-01,3983748.0
STATEN ISLAND,2022-08-01,3723732.0
STATEN ISLAND,2022-09-01,3224880.0
STATEN ISLAND,2022-10-01,2432332.0
STATEN ISLAND,2022-11-01,2226464.0
STATEN ISLAND,2022-12-01,2421448.0
STATEN ISLAND,2023-01-01,610160.0
STATEN ISLAND,2023-02-01,913680.0
STATEN ISLAND,2023-03-01,1265680.0
STATEN ISLAND,2023-04-01,556320.0
STATEN ISLAND,2023-05-01,544800.0
STATEN ISLAND,2023-06-01,788416.0
STATEN ISLAND,2023-07-01,1155923.63
STATEN ISLAND,2023-08-01,850924.0
STATEN ISLAND,2023-09-01,948238.49
STATEN ISLAND,2023-10-01,1463931.51
STATEN ISLAND,2023-11-01,77984.0
STATEN ISLAND,2023-12-01,227677.01
